                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    131,                 0.9614,                0.50078,                0.83478,                0.94017,                0.75015,                0.81616,                0.62946,                 1.0166,                0.56374,                0.85573,                0.00142,                0.00142,                0.00142
                    132,                0.95435,                 0.5011,                0.83527,                0.93638,                0.75421,                0.81839,                0.63471,                 1.0199,                0.56468,                0.85605,               0.001354,               0.001354,               0.001354
                    133,                0.94337,                0.49616,                0.83275,                0.93437,                0.75741,                0.81055,                0.63263,                 1.0143,                0.56041,                0.85483,               0.001288,               0.001288,               0.001288
                    134,                 0.9503,                0.49785,                0.83412,                0.93993,                0.74635,                0.80951,                0.62887,                 1.0109,                0.56073,                0.85435,               0.001222,               0.001222,               0.001222
                    135,                0.94075,                0.49113,                0.83593,                0.94264,                 0.7408,                0.81566,                0.61957,                 1.0181,                0.56219,                0.85592,               0.001156,               0.001156,               0.001156
                    136,                0.94501,                0.49514,                0.83359,                0.94487,                0.74417,                0.82598,                0.62911,                 1.0191,                0.56108,                0.85529,                0.00109,                0.00109,                0.00109
                    137,                0.92974,                0.48583,                0.83172,                0.93817,                0.75721,                0.85193,                0.64088,                 1.0142,                0.56114,                0.85469,               0.001024,               0.001024,               0.001024
                    138,                0.93401,                 0.4914,                0.83328,                0.94202,                0.75661,                0.82556,                 0.6325,                 1.0131,                0.55803,                0.85438,               0.000958,               0.000958,               0.000958
                    139,                0.94044,                 0.4923,                0.83532,                0.94267,                0.75535,                0.81489,                0.62237,                 1.0064,                0.55628,                0.85396,               0.000892,               0.000892,               0.000892
                    140,                0.90917,                0.47579,                0.82132,                0.93387,                0.75768,                0.81052,                0.62252,                 1.0243,                0.56517,                0.85727,               0.000826,               0.000826,               0.000826
                    141,                0.89372,                0.46854,                0.82172,                0.93798,                0.75372,                0.81349,                0.61987,                 1.0192,                0.56244,                0.85792,                0.00076,                0.00076,                0.00076
                    142,                0.88761,                0.46546,                0.81956,                0.94181,                0.74497,                0.81352,                0.62846,                 1.0175,                 0.5616,                0.85562,               0.000694,               0.000694,               0.000694
                    143,                0.87792,                0.46213,                0.82335,                0.95188,                0.73627,                0.80292,                0.61966,                 1.0161,                0.56163,                0.85571,               0.000628,               0.000628,               0.000628
                    144,                0.87299,                0.45927,                0.82156,                0.94256,                0.74382,                0.80553,                0.61736,                 1.0114,                0.56124,                0.85479,               0.000562,               0.000562,               0.000562
                    145,                0.86845,                0.45694,                0.82022,                0.95034,                0.73906,                0.79671,                0.61075,                   1.01,                0.55947,                0.85415,               0.000496,               0.000496,               0.000496
                    146,                0.86149,                 0.4534,                0.81809,                  0.947,                0.74233,                0.80622,                0.61658,                  1.013,                0.55957,                0.85481,                0.00043,                0.00043,                0.00043
                    147,                0.86442,                0.45608,                0.82044,                0.94524,                0.74451,                0.80711,                0.61995,                  1.011,                0.55802,                  0.855,               0.000364,               0.000364,               0.000364
                    148,                 0.8551,                0.45347,                0.81753,                 0.9513,                0.73906,                0.80668,                0.61743,                  1.015,                0.55877,                 0.8555,               0.000298,               0.000298,               0.000298
                    149,                0.86497,                0.45119,                0.81949,                0.95242,                0.73809,                0.79991,                0.61545,                 1.0091,                0.55762,                0.85487,               0.000232,               0.000232,               0.000232
